Title,Article,Category
Govt to grant special 1-year pass to highest taxpayers for Singhadarbar access,"Kathmandu, November 23 The highest taxpayers will receive a special one-year pass to enter Singhadarbar. The government plans to honour taxpayers on Tax Day by granting them access to Singhadarbar for a year.  Finance Secretary Krishnahari Pushkar has instructed the Internal Revenue Department to initiate the issuance of these passes starting today. During the same program, the government has recognised taxpayers who contribute higher taxes across 16 distinct categories.",political
Sher Bahadur Deuba’s lone decisions leave other party members answering the consequences,"Nepali Congress  President Sher Bahadur Deuba is often observed as a reserved speaker who listens attentively. However, his tendency to make independent decisions contradicts the perception that he is a careful listener, creating a conflict in his actions. Examining Sher Bahadur Deuba’s most recent decisions provides a basis for evaluation. TikTok ban Prime Minister Pushpa Kamal Dahal, along with Deuba and the chair of the main opposition party UML, KP Sharma Oli, played a key role in creating an  environment to ban TikTok . The need to regulate the widespread vulgarity on TikTok was deemed imperative. However, Deuba did not engage in consultations regarding this decision with the party members. Consequently, two General Secretaries,  Gagan Thapa and Biswa Prakash Sharma , along with many other leaders of the Nepali Congress, opposed the approval provided by the party president. Consequently, his stance did not align with the institutional opinion of the Nepali Congress. On November 7, Prime Minister Dahal called a meeting with the then-seven parties and the Maoists (12-member group), who were actively spearheading the peace process. Accompanied by Krishna Prasad Sitaula, a key figure in the peace process, Deuba attended the meeting at Singhadarbar. On that very day, the government announced the TikTok ban, and notably, Deuba did not voice any objections to this decision. Why? It can be said that Sher Bahadur Deuba has not been a fan of the platform that has vilified him and his family over the past year.  In April, Deuba acknowledged that the party faced an escalating wave of attacks on social media. It was said that organised social media assaults hindered the party and its leaders from  securing victory in Tanahun-1 . Despite existing perceptions within the party regarding social media, Deuba’s independent decision to ban TikTok carries particular significance for the Nepali Congress. Deuba provided a ‘green signal’ to the government for the TikTok ban without deeming it necessary to discuss the matter within the party or convene a meeting of officials. Contrary to PM Dahal’s assertion that all parties supported the decision, Gagan Thapa promptly contradicted the Prime Minister’s statement a day after the TikTok ban was implemented. Thapa questioned the Prime Minister through social media, asking, “Where and when has there been a discussion within our party Nepali Congress? When and where has there been consensus? Who and how was the consensus made?” Sher Bahadur Deuba rarely includes General Secretaries Thapa and Sharma in discussions with PM Dahal, and they claim that any agreement between the Prime Minister and Deuba only becomes evident through media disclosure. Thapa says that supporting a decision made without informing or discussing it within the party is not feasible. In a cautionary tone directed at Deuba, Thapa says, “The party is not the private company of the party president, any of his opinion should not be a party’s opinion, internal discussions should take place within the party.” Thapa stated that he met with PM Dahal and inquired about the rationale behind considering the discussion at Baluwatar as an alliance meeting before recent decisions, including the TikTok ban. The party’s leaders have voiced their opposition to Deuba’s actions since he adopted the policy of abstaining from the decision-making process. Ambassador appointments The government’s choice to establish a Nepali embassy in Portugal and nominate Sunil Nepal as the ambassador was made on November 9. Nepal has a close association with Nepali Congress politician Dr Shashank Koirala. Party leaders have indicated that there was no internal discussion within the party regarding the appointment of the ambassador. This is consistent with the observation that Sher Bahadur Deuba has not been following the institutional system for making appointments. Undemocratic decision-making within the party As per the Nepali Congress’s statute, the president exerts “unlimited” power. However, party leaders argue that despite various positions within the Central Committee, internal cohesion has not been fortified when all authority is concentrated in the hands of the president. Critics contend that the  party has weakened due to the perceived misuse of powers  by Sher Bahadur Deuba. They point to instances where Deuba has overlooked other perspectives in decisions related to central to provincial ministers, nominations for fraternal organisation presidents, appointments of parliamentary committee chairpersons, and the expansion of the central committee. Congress leaders are commenting that not having internal discussions on some issues before making a decision has had a long-term impact on the party. There is an understanding within the party that due to the lack of internal discussion in the decision-making process, the party has to suffer. Central member Shyam Ghimire says there is a problem in the party due to a lack of internal discussion on serious issues.  “We are not even able to give clear opinions on issues”, says Ghimire, “It is my understanding that the lack of discussion has led to serious problems.” Gagan Thapa vehemently objected to Deuba’s operational approach, questioning, “Shouldn’t there be a discussion about the individuals he wishes to appoint? For the party’s well-being, there should be a discourse on the suitability of the individuals he intends to appoint.” According to other leaders, Sher Bahadur Deuba appears unwilling to engage in discussions about the individuals he endorses for various responsibilities within the party. Nominating central members solely and selecting ministers on a whim The statute of the Nepali Congress has given the party president the right to nominate 33 central members. But, Sher Bahadur Deuba has appointed five people to the central committee, a move that goes against the party’s regulations. According to the party’s rules, individuals who face defeat in the inter-party election at the lower level are not eligible for inclusion in the central committee. Arjun Prasad Joshi, Bharat Shah, Kiran Raj Sharma, Laxmi Khatiwada and Ganga Shahi, who lost during the last convention, were made central members by Deuba. The leaders sought the president’s answer by showing the provisions of the law. Deuba did not care and went ahead anyway. The party leadership has been resistant to endorsing the president’s unilateral approach in significant decisions. Concerns have been raised about the damage incurred by the party as a result of not adhering to the constitutional framework and rejecting the collective leadership system. Leaders within the party express the sentiment that Sher Bahadur Deuba appears disconnected from the concerns and grievances of ordinary citizens. Consequently, other leaders at the Nepali Congress find themselves compelled to respond to his decisions, shaping the fate of the party. “The president does not care what the citizens are saying about the decisions he has made, but we do,” says a member of the Nepali Congress on the condition of anonymity. “He takes the decision but it is we who have to be answerable to the public. We don’t think it is fair.” This story was translated from the  original Nepali version  and edited for clarity and length.",political
What prompts the govt to be cautious in the face of the UML Youth Wing and Durga Prasai’s demonstrations in Kathmandu?,"CPN-UML’s sister organisation, the National Youth Federation Nepal (youth wing), and Durga Prasain-led Rastra, Rastriyata, Dharma-Sanskriti, and Nagarik Bachau Andolan (a citizen’s movement for the protection of nation, nationalism, religion, and culture) have declared they will stage a one-day demonstration of power on November 23. This announcement by Mahesh Basnet and Durga Prasai has put the government on edge with fears of a clash between the two groups. Initially, both parties said that they would hold a program at Maitighar Mandala, but the District Administration Office, Kathmandu  had other plans . Kathmandu’s Chief District Officer,  Jitendra Basnet,  fearing a clash barred protests from being staged at the Maitighar and Baneshwor area for a month. That has led the two groups to hold their demonstrations in separate places. During the discussions at various stages, Jitendra Basnet said that not only would Maitighar Mandala be off-limits, but any concurrent events by two parties in Kathmandu at the same place, time, and date would not be approved. Instead, they were advised to opt for different areas such as Tinkune, Machhapokhari, Narayanchaur etc.  Subsequently, the Mahesh Basnet-led youth wing selected Tinkune for its program, while the group led by Durga Prasai opted for Balkhu.  Former DIG of Nepal Police, Hemant Malla Thakuri, says that the administration has taken such a decision to prevent any untoward incident as both Mahesh Banset and Durgra Prasai and their followers have been publicly targeting each other over the past few months.  “In the past, there have been instances of unpleasant incidents when we did not take precautions. Now the administration is doing so as it does not want any riots in the city,” he says. However, on Tuesday, both Kathmandu and Lalitpur took extra measures by  banning protests in the vicinity of the UN House and the Minister’s quarters  along with the residences of the President and Prime Minister. Mahesh Basnet and Durga Prasai’s bitterness Controversial businessman Durga Prasai was once close to Prime Minister Pushpa Kamal Dahal. He claims to have given refuge to the Maoists during the People’s War. The proof of this was when Dahal, when he was prime minister in 2016, insisted on giving affiliation of Prasai’s medical college B&C Hospital. But, thanks to Dr Govinda KC, that plan did not materialise. Later, when  UML and Maoists merged to form the Nepal Communist Party (NCP) , Prasai also became close to KP Sharma Oli. Prasai even joined the UML and also became its central member.  However, Oli got angry with Prasai when he started conducting a campaign for the restoration of the monarchy. He was subsequently  expelled from the UML  in February. It appears that the expulsion has soured Prasai’s feelings, as he has been speaking negatively about Oli ever since. This has not been well-received by UML leader Mahesh Basnet. On October 9, Prasai was smeared with black soot by members of the UML youth wing in Kathmandu. This was ironic as Prasai had been stating the bankers and local sharks needed to be smeared with black soot. It was Mahesh Banset’s turn to face the music as Prasai’s followers tried to disrupt a programme he was due to attend in Jhapa. Vehicles were vandalised but Prasai’s followers never got close to Mahesh Basnet. While the bitterness between Mahesh Basnet and Durga Prasai continued, both of them continued to speak against each other at public forums. While garnering public support by expressing his stance against loans, microfinance, and the plight of  loan shark victims , Prasai declared his intention to demonstrate his power in Kathmandu starting from October 24. He outlined programs with the assertion of ‘changing the system.’ In the statement issued on November 19 on behalf of his group, it is said that the ‘Peaceful Civil Liberation Movement’ will be started from November 23. Prasai has called upon Hindu organisations, activists and even Nepalis living abroad to participate in the demonstration. At the same time, the UML youth wing has also announced that it will stage a demonstration against corruption and anarchy. On Saturday, UML president KP Sharma Oli also said that this is the party’s program. However, some observers have remarked that the UML has become entangled in the animosity between Mahesh Basnet and Durga Prasai. When asked why the UML youth wing was staging a protest on the same day as Durga Prasai, Mahesh Basnet said they planned the protest two months in advance. With both parties unwilling to yield, the protest is scheduled to take place tomorrow in Kathmandu, and it is anticipated to disrupt traffic. Fearing potential disruptions, some schools have decided to shut down altogether. Kathmandu is on high alert After efforts to ask Mahesh Basnet and Durga Prasai to stage their protests on different days proved unsuccessful, the Home Ministry conducted joint meetings involving all security agencies for security preparations.  On November 17, Prime Minister Dahal personally convened a briefing with the heads of the security agencies. During the briefing, he expressed interest in Prasai and the youth wing’s programme and directed the strengthening of the security system. According to sources, following that, the Home Ministry engaged in discussions with officials from various security agencies. On November 17, Home Secretary Dinesh Bhattarai held a three-hour discussion with the three chief district officers and the security chiefs of the valley. Security sources have reported that Prasai appointed contact persons at 86 locations, announcing plans to mobilise people from all over the country. “There is information that they have been given the responsibility to bring people in the bus”, a source from the Home Ministry told Onlinekhabar on the condition of anonymity. “We think there is a chance of over 10,000 gathering in Kathmandu.” The security apparatus has a report that rooms have been booked in some hotels in the valley in the name of Prasai’s campaign till Tuesday night. Prasai is planning to gather a large number of people with the conclusion that his future will be determined by this demonstration. According to sources from the National Research Department, recent programs organised by Prasai in Kathmandu had no more than 300 attendees. However, the Department predicts the number may increase, as disaffected groups from political parties can potentially mobilise people from various districts to join the demonstration in Kathmandu. “On top of that, the area chosen by Prasai is also a place where there is high movement of locals, it increases the crowd”, the source said. Investigation suggests that security agencies need to remain vigilant, given the estimation of the presence of extremist groups in Prasai’s demonstration advocating for a Hindu nation and monarchy. Prasai has also invited Hindu organisations to participate in the demonstration. In light of this, security for November 23 is being coordinated by establishing a joint operation centre, with the presence of an officer from the Directorate General of Military Intelligence (DGMI) of the Nepal Army. It will also have a team from the Armed Police Force and the National Investigation Department. Officials say that since Prasai has announced that its program will continue after November 23, they have to prepare accordingly. Kathmandu Police Chief SSP Khatri says that the security system has tightened the checks even at the major entry points.",political
Election Commission adjusts vote weightage for coming National Assembly election,"Kathmandu, November 22 The Election Commission has revised the voter weightage for participants in the  National Assembly election  scheduled for January 2024. Following the 2021 census, the commission has determined the new vote share for provincial assembly members, mayors and deputy mayors and chair and vice-chairs of the local level. Shaligram Sharma Paudel, the spokesperson of the Commission, revealed that during the Wednesday meeting of the commission, the votes of provincial assembly members were set at 53, while the votes of the chair and vice-chair of the rural municipality and the mayor and deputy mayor of the municipality were fixed at 19. Previously, one provincial assembly member held 48 votes, and local-level people’s representatives had 18 votes. The commission has recommended to the government that the  National Assembly  election date be scheduled for on or before January 11.",political
Judicial Council recommends 6 judges for Supreme Court Justices,"Kathmandu, November 22 A meeting of the  Judicial Council  held on Tuesday has recommended the name of six individuals to be appointed to the  vacant post of Justices at the Supreme Court. The meeting held under the chairmanship of Chief Justice Bishwombhar Prasad Shrestha recommended judges of High Court—Saranga Subedi, Abdul Aziz Musalman, Mahesh Sharma Poudel and Tek Prasad Dhungana and senior advocates—Sunil Kumar Pokharel and Bal Krishna Dhakal to be appointed as the new justice of the apex court. Similarly, the meeting also proposed the appointment of chief judges at various High Courts.  The recommended appointments include Lohit Chandra Sah for High Court Surkhet, Madhav Prasad Pokharel for High Court Pokhara, Ramesh Prasad Bhandari for High Court Biratnagar, Shreekant Poudel for High Court Janakpur, Nityananda Pandey for High Court Tulasipur, and Shanti Singh Thapa for High Court Dipayal.",political
"President’s Office, Prime Minister’s residence, UN House and minister’s quarters declared a no-protest zones","Kathmandu, November 22 The District Administration Offices in Kathmandu and Lalitpur have designated the President’s Office, Prime Minister’s residence, UN House and minister’s quarters as no-protest zones. On Tuesday, both DAOs in Kathmandu and Lalitpur stated that the order prohibits gatherings of more than five persons for protests, processions, sit-ins, gheraos, hunger strikes, and assemblies. This follows the declaration of  Maitighar Mandala and Baneshwor as no-protest zones  by Kathmandu on Monday. The order came into effect on November 21 and will be in force for a duration of up to 30 days. This follows the announcement by the UML youth wing, the National Youth Federation Nepal, planning a mass gathering on November 23. Simultaneously, on the same day, the  controversial businessperson Durga Prasai  declared a protest program. The Federation has chosen to hold its gathering in Tinkune while Prasai’s group will hold its gathering in the Balkhu area.",political
Unclear definitions in new social media directive raise concerns of potential ambiguity and challenges ahead,"The government is implementing the Social Media Management Guidelines 2023, which effectively prohibits the creation of fake IDs, pages, or groups with the intent of using anonymous or false identities. Furthermore, the social media directive serves dual purposes—regulating the use of social networks and promoting self-regulation among both platform operators and users. This includes manipulating images through animation or montages, and any derogatory troll posts that distort original pictures. Also, it has targeted the unauthorised sharing or commenting on others’ content and deceptive calls. Netra Prasad Subedi, joint secretary and spokesperson at the  Ministry of Communication and Information Technology , highlighted that these guidelines aim to curb illicit activities across various platforms like Facebook,  TikTok , Twitter, Viber, Pinterest, WhatsApp, Facebook Messenger, Instagram, YouTube, LinkedIn, WeChat, and other online groups and blogs allowing idea exchange and content dissemination. Despite this, experts, including cyber law advocate Santosh Sigdel, have criticised the government for not providing adequate explanations behind the social media directive. They suggest that the directives might aim to obscure criticism and suppress certain social media movements. While the guidelines address fake IDs, pages, and groups, many aspects remain unclear, they argue. “International law doesn’t mandate social media platforms to register to operate. If individuals with shared views unite through a page or group, how can such gatherings be labelled as fake? Will groups like ‘No Not Again’ active during the latest elections, ‘Enough is Enough’ during the pandemic, or various pages and groups dedicated to social causes no longer be permitted to operate?” he questions. Can the government regulate? The social media directive prohibits publishing and broadcasting of content—words, audio, visuals, images, and trolls—that disrupt social harmony and tolerance. It also prohibits promoting activities already banned by law. The government now also puts regulations on ‘hate speech’ which is defined as any content—sounds, words, pictures, videos, trolls—that could lead to negative consequences like inciting violence or disrupting social harmony through posts, shares, or comments. Subedi further remarks that the government might misuse these ambiguous provisions in the guidelines by interpreting them to suit their agenda. “The possibility of freedom of expression being marred cannot be ruled out.” In the social media directive, it is forbidden to publish or broadcast a person’s picture altered through animation, montages, or other digital media techniques. Furthermore, it specifies that aside from public matters, photos/videos depicting private affairs cannot be taken, edited, published, or broadcasted without consent.  Additionally, the use of obscene words, pictures, audio, video animations, publications, broadcasts, or comments in support of such content is prohibited. Not just posting, but advertising, duplicating and sharing them are also explicitly prohibited in the social media directive. “What defines obscenity? What constitutes distorting an image? Are caricatures completely disallowed? Trolling? Memes?” questions Sigdel.  Sigdel expresses concerns that the guidelines, which restrict the digital creation of even cartoons—a form traditionally associated with freedom of expression—go beyond parliamentary norms. He cautions that such guidelines imposed by external sources increase the risk of misinterpretation, trolling, or the proliferation of ‘meme culture.’ Expressions of hatred directed at protected categories such as individuals, communities, genders, religions, ages, professions, and other legally safeguarded groups are also deemed unacceptable according to the directive. This also applies to issues like child labour, human trafficking, polygamy, child marriage, and caste-based untouchability. Sigdel’s analysis suggests that the government’s actions may surpass the intended impacts outlined in the guidelines, primarily due to the vague provisions. He specifically notes the social media directive’s attempt to regulate comments but points out a lack of clarity regarding the responsibility for monitoring and addressing comments on others’ pages and posts. User’s responsibilities The social media directive lays out specific responsibilities for social media users, stressing the avoidance of any communication that could adversely affect Nepal’s sovereignty, geographical integrity, national security, unity, independence, self-respect, national interests, or relationships between federal units. The social media directive guidelines commendably address content harmful to children, rightly discouraging activities like child sexual exploitation, abuse, and prostitution. It also prohibits promoting drug use, trafficking, gambling, or any related acts, alongside publishing terrorism-related content. Additionally, it forbids actions that breach personal privacy, like hacking IDs or engaging in phishing via social media. Moreover, the social media directive explicitly states that certain actions—disseminating false information, sharing misleading or disinformation, publishing hacked information, using technology for intimidation, and spreading false information—are not classified as cyberbullying. Users are strongly advised against participating in or inciting hatred, malice, or contempt based on class, caste, religion, region, or communal affiliations. It stats that it is the individual’s responsibility to abstain from posting, sharing, tagging, liking or commenting, subscribing to, live broadcasts, and hashtagging such topics that disrupt social harmony and go against the  new directive . Mandatory registration With the new social media directive, individuals, companies, or organisations running social media platforms in Nepal will now also be required to register with the ministry. The ministry will provide a public notice detailing the registration procedure for the same.  The government has categorised social networking platforms in Nepal into two groups based on user numbers. Those with fewer than 100,000 users are considered small social media platforms, while those surpassing 100,000 users are classified as large social media platforms. Social platforms that were operational before the directive must apply for listing with the Ministry of Communication and Information Technology within three months of the social media directive’s introduction. Official recognition in Nepal for these platforms will only be granted after the government compiles the list. The guidelines explicitly state that unlisted social media platforms may be barred from operating in Nepal. However, it is clarified that this regulation will not impact social media platforms dedicated solely to civic education and social empowerment. Moreover, operators of listed social media platforms must update their information every three years to maintain their authorised status. Any changes in the contact centre’s address or the officer handling complaints need to be notified to the Social Network Management Unit. Addressing the grievances Social media is also not alien to the grievances. To address that, the social media directive says that operators of social media platforms are mandated to set up a contact centre within Nepal. This centre should include a designated officer stationed in Nepal to manage complaints and another overseeing self-regulation. For social network platform operators without an existing Nepal office, the guidelines dictate the establishment of an office or appointment of a contact person within three months. The government, meanwhile, also intends to create a ‘Social Network Management Unit’ within the Ministry of Communication and Information Technology to handle complaints lodged by social media platform operators or their contact offices.  This unit will address unresolved grievances or issues not handled by relevant agencies under existing laws. When filing a complaint about social media usage, the complainant will be required to submit a screenshot of the content involving instances of deception, harassment, or abuse. The unit will promptly issue written notices to the concerned social media platform’s contact centre for the removal of content that contradicts the guidelines. If a person in a position of public accountability breaches the guidelines, the unit will notify the relevant agency or authority, in writing. Moreover, the unit will organise meetings involving relevant agencies to establish a systematic approach to the use and regulation of social media. It will advocate for legal frameworks and promote best practices for responsible social media use. Additionally, under the social media directive, the unit will facilitate institutionalised studies, research, and dialogue in this domain. Social media platforms must also create algorithms and adopt measures within their networks to prevent the dissemination of content violating existing laws. Moreover, the social media directive mandates platform operators to uphold essential security standards to protect users’ private information and refrain from making it public or using it for other purposes. The platforms’ contact centres in Nepal must identify and take action against content on social media that violates the guidelines. They are required to deactivate or remove prohibited content for a specified period or permanently. According to the guidelines, upon receiving complaints about inappropriate content on social media, platforms must promptly identify and remove it within 24 hours.  Furthermore, they must inform about their activities to the Social Media Management Unit and Department of Information and Broadcasting, Advertising Board, Press Council of Nepal, and Nepal Telecommunication Authority. It also requires fact-checking and compliance with the ‘ Santa Clara Principle ‘ for regulating social media. Additionally, the social media directive specifies the facilitation of financial transactions through the banking system within social media operations. Experts note that the guidelines, derived from Section 79 of the Electronic Transactions Act ( 2008 ), provide a legal basis for imposing penalties for violations, as outlined by the Act and its regulations. Advocate Sigdel raises concerns about the social media directive guidelines lacking legal clarity on social media use, potentially creating unresolved issues exploited by the government.  “Subjects not addressed in the current law are also encompassed in the directive. This inclusion poses a risk as it might be utilised to suppress discontent that could arise against the government or political parties and their social media activities in the future,” he says issuing a warning.",political
National Assembly election planned for January 2024 with 20 members retiring in March,"Kathmandu, November 21 Twenty members of the  National Assembly , the Upper House of the Parliament, including Chair Ganesh Prasad Timilsina are retiring on March 4, 2024. The National Assembly has 59 members and the six-year term of one-third of them is ending on March 4. They belong to the group of members whose term was determined through a draw for the first time after the formation of the Assembly in 2017. Often referred to as the Elders’ House, the Upper House plays a crucial role in the legislative process by contributing to the enrichment of bills and legislation. It is a forum for in-depth discussions and provides valuable feedback, suggestions, and advice on the decisions put forth by the House of Representatives.  While some critics argue that the  National Assembly has become overshadowed  by the House of Representatives, it has, at times, conveyed messages to the House of Representatives, urging a review of certain significant bills. The term of all the National Assembly members, whose tenure was determined for two, four and six years through a lottery system for the first time after the formation of the Assembly in 2017, is expiring on March 4, 2024.  Among them, eight belong to the CPN (UML), four to the Nepali Congress, three to the Maoist Centre, two to Unified Socialist and one to JSP while one each is an independent and nominated.",political
"Intelligence, democracy and today’s Nepali Congress","Who possesses intellect? This is a topic that warrants debate in today’s world. Furthermore, intelligence and conscience serve as the tools that maintain a balanced political landscape. If these tools are not wielded properly, they have the potential to cause unforeseen accidents. Utilising the knowledge systematically acquired through life experiences for the betterment of society is the fundamental goal of intelligence. I prefer not to delve too deeply into the definition and explanation of democracy; my perspective on democracy is more spiritual than explanatory. I believe that it is an advanced democratic practice for every person to express democracy in their behaviour. My concern is how  the Nepali Congress,  being a major democratic force in Nepal works for democracy in its intellectual, political and democratic practice.  A comparison, the early days and now The Nepali Congress is a party with a rich history in the country, rooted in its own original principles and beliefs. The early movement initiated by the Nepali Congress was closely linked with the intellectual and literary movements in Nepal. However, the current political trajectory, marked by trends of anarchy and disillusionment among leaders within the Nepali Congress, appears to deviate from the party’s foundational principles and beliefs. Discussions and debates within the party are decreasing day by day. There is a notable absence of questioning cadres within the party, leading to an influx of conformist members. Consequently, this trend is giving rise to distinct classes within the democratic party. Instead of focusing on updating the party’s policies and principles to align with the current global environment, there is a discernible shift toward hypocritical tendencies within the party. Even though the Nepali Congress is now in a situation where the economic policies put forward by  BP Koirala  can be easily implemented, the attention of the leaders has not been directed towards them. Are the present local governments of the Nepali Congress aligning with the economic development principles advocated by BP Koirala? Is the Nepali Congress positioning itself in the political arena as a historical necessity, representing the independent spirit of the Nepali people who were historically exploited by the feudal system? These are questions that should be discussed in depth within the Nepali Congress. The problem The reason for all these problems created within the party is the ideological deviation and  factionalism created within the party . It is evident that issues, such as different factions attempting to steer the democratic party according to their own preferences, are becoming ingrained in the current Nepali Congress. Although the party embraces the path of socialism, it seems that there is a drought within the party on how to adopt the path of socialism shown by the BP in the current era and how to build a more advanced socialist state system. The consciousness of what we are, what we are not, and why we are different from the communists is not seen even in the latest generation of Nepali Congress. It has not happened even from the schooling leaders, which indicates that the party is still on the path of the Mahabharatian political system rather than the direction of scientific politics. Politically, all parties in the country proclaim to oppose corruption. However, the party that asserts itself as entirely democratic, declares its role as the guardian of diverse political movements in Nepal, and advocates policies aimed at fostering societal brotherhood is facing serious scrutiny. The  involvement of party cadres in corruption , coupled with leaders actively shielding corrupt practices, raises significant questions about the state of politics today. And there are signs that the people are  looking for an alternative . The various electoral alliances and alliances formed due to the vested interests of some individuals and groups do not seem to be healthy for the Nepali Congress in the long term. Moreover, such unnatural alliances created against the constitution and principles of the party create a situation of deviation and confusion among the general workers of the party in the long term. The democratic movement of the Nepali Congress has now turned into a campaign because the political movement has already been completed at one stage. However, it may not have been felt so much at the public level. In the political landscape of Nepal, the Nepali Congress is a party that has been granted numerous opportunities by the people for improvement. With the increasing potential for alternative politics, it appears that the Nepali Congress faces a significant challenge in enhancing itself over the next three years. Since the Communists of Nepal are becoming more bourgeois, the communist movement established a new structure through class struggle. But history has proven that the communists are falling in the world because the new structure that is built becomes feudal and authoritarian. The communist movement in Nepal is also in the same condition now. In this situation, the Nepali Congress can gather a lot of trust from the people and establish itself as a stable political force. The Nepali Congress has no more options. So, now Nepali Congress should start a new democratic revolution towards production, accelerate the construction of national capital, and move forward in the direction of advanced socialism. Even though the Nepali Congress is a party of scholars and decent people, this belief is still alive somewhere. Once again, the Nepali Congress can prove this point.",political
Supreme Court hearing on TikTok ban postponed,"Kathmandu, November 20 The preliminary court hearing set for Monday at the  Supreme Court  in response to the government’s decision to ban  TikTok  has been postponed. Ten writ petitions challenging the TikTok ban were submitted to the Supreme Court and allocated to a single bench presided over by Justice Kumar Chudal. Due to other priority cases, this matter did not take precedence today. The writs were also assigned to a divisional bench comprising Justices Chudal and Nahakul Subedi. Unfortunately, there was not enough time to hear the writ petitions. On November 13, the  Council of Ministers banned TikTok  for disrupting social harmony. The government’s decision came under criticism for being perceived as against freedom of expression. On November 17, lawyers and businesspersons  filed writ petitions at the Supreme Court  challenging the government’s decision.",political
Voices unheard: The struggle for gender justice among conflict-affected women,"After 17 years of a  peace process , the lingering legacy of political violence continues to impact women in Nepal. Unfortunately, the nation has struggled to comprehend and effectively address the specific needs of  women in the post-conflict era . This failure has impeded transformative change and progress in the country. The persistence of underlying structural violence has hindered societies from rebuilding socially and psychologically. Unfortunately, gendered communal healing and community reconciliation are notably absent from mainstream peace discourse, posing a regrettable obstacle to comprehensive recovery. Dilemma on gender justice The prolonged peace process has given rise to new conflicts,  exacerbating the subjugation of women  who continue to bear the  impacts of the armed conflict . The agency women built during the armed conflict is now eroding due to the myriad of injustices- political, economic, cultural, social and psychological –imposed by a patriarchal society. The dilemma on gender justice is vividly seen at the state and political level of peacebuilding. Male leaders in positions of power have failed to recognise the  multi-layered injustices faced by women . This failure is often attributed to the fact that these power-holders operate within an environment conducive to their authority, making it difficult for them to fully perceive the injustices experienced by other, more vulnerable individuals. This hindrance to structural change in the so-called peace process is perpetuating the social and cultural misery experienced by conflict-affected women. Moreover, these challenges are adversely impacting subsequent generations. The interconnectedness of individuals and our undeniable co-existence emphasises the importance of acknowledging these facts, as ignoring them may result in long-term repercussions. Unfortunately, non-affected communities of the conflict also have not shown sufficient observance or taken initiatives with a sense of accountability to alleviate the social and cultural misery faced by conflict-affected women. Subsequently, it seems like conflict-affected women are living even worse situations in this post-conflict situation than, they were in the time of conflict which is marginalising them in many forms. The state’s failure to conduct a comprehensive analysis of the context and allocate resources for the well-being of women is evident. Absent from mainstream peace discourse The so-called transitional justice process, often marked by rhetoric, requires a re-envisioning of its modality of implementation with an amendment to its act. The complex web of relationships between the institutions, policies and the affected communities is often overlooked. This results in policies directly impacting the lives of the conflict-affected communities without adequate consideration. In contrast, they are the main stakeholders of the transitional justice process. Now, many conflict-affected women are in their growing age and questioning how the government will compensate for their lost moments and address their physical, bodily and mental losses. Additionally, they are expressing there is no sense in receiving compensation/reparation for the harm they suffered when they are not alive as many have already lost their lives.  Recently, in the tragic incidents of  earthquakes in Jajaorkt and Rukum West , women awaiting justice for the conflict have lost their lives. This incident also calls for urgent, timely and sensitive responses to the challenges faced by conflict-affected women. There is a pressing need for a fundamental shift in the arrogance and fear among the political parties and state, along with increased accountability for delaying the transitional justice process and contributing to the emergence of different forms of conflict.  While international attention is often focused on larger conflicts in other regions, securing support from national and international communities is crucial to advancing justice, human security and peace dividend for Nepal’s conflict-affected women.",political
